id_venda,data_hora,categoria,produto,quantidade,valor_unitario
1,2023-04-13 16:07:51,Bolo Tradicional,Bolo de chocolate,3,23.42
2,2023-02-21 09:29:19,Bolo de Festa,Bolo de aniversário morango,1,127.94
3,2018-07-09 17:40:38,Bebida,Café expresso,1,3.64
4,2018-12-08 16:03:05,Bebida,Chá gelado,2,6.41
5,2022-02-02 16:40:19,Bolo de Festa,Bolo de casamento,1,137.2
6,2023-06-27 12:31:09,Salgado,Empada,2,5.42
7,2025-07-25 20:46:44,Bolo de Pote,Bolo de pote chocolate,1,8.51
8,2022-05-12 11:11:49,Bolo de Festa,Bolo dois amores,2,86.78
9,2021-06-08 11:07:49,Bebida,Chá gelado,1,6.61
10,2021-09-15 12:23:50,Bolo de Festa,Bolo de casamento,1,112.26
11,2018-02-02 12:15:10,Bolo Tradicional,Bolo de milho,5,24.44
12,2023-11-26 14:39:13,Bebida,Chá gelado,1,6.39
13,2021-08-11 20:32:25,Bebida,Refrigerante,2,5.23
14,2020-10-10 18:14:58,Bolo de Festa,Bolo de aniversário chocolate,2,91.67
15,2020-03-31 10:47:25,Bolo Tradicional,Bolo de cenoura,1,21.52
16,2018-06-11 21:28:12,Bolo de Festa,Bolo dois amores,2,148.51
17,2018-03-06 20:02:52,Bolo de Pote,Bolo de pote chocolate,1,9.98
18,2018-03-27 19:43:07,Bolo Tradicional,Bolo de cenoura,2,19.99
19,2022-03-12 17:46:38,Bebida,Refrigerante,2,6.5
20,2023-03-30 14:47:18,Bolo de Pote,Bolo de pote brigadeiro,1,13.82
21,2022-02-26 14:26:18,Bolo de Pote,Bolo de pote churros,1,12.88
22,2022-01-23 14:14:47,Bolo Tradicional,Bolo de chocolate,2,24.85
23,2017-03-27 08:38:44,Bebida,Refrigerante,2,5.79
24,2019-08-25 11:41:22,Bolo Tradicional,Bolo de laranja,2,21.36
25,2023-05-02 12:35:19,Bolo de Festa,Bolo dois amores,1,144.32
26,2018-11-18 21:46:01,Bolo de Pote,Bolo de pote brigadeiro,2,10.33
27,2018-06-11 08:46:14,Bolo Tradicional,Bolo de cenoura,1,19.46
28,2025-07-24 10:34:28,Bolo de Pote,Bolo de pote morango,2,14.37
29,2017-06-15 20:36:58,Bolo Tradicional,Bolo de fubá,1,24.25
30,2023-06-10 13:18:01,Bolo Tradicional,Bolo de cenoura,1,15.58
